 General Antonio Elizalde,4,270
 Coronel Marcelino Maridueña,4,270
 El Triunfo,4,270
 Durán,4,270
 Guayaquil,4,270
 Playas,4,270
 Naranjal,4,270
 Balao,4,270
 Santa Elena,4,280
 La Libertad,4,280
 Salinas,4,280
 La Troncal,4,263
 Cañar,4,263
 Suscal,4,263
 El Tambo,4,263
 Azogues,4,263
 Biblián,4,263
 Déleg,4,263
 Sevilla de Oro,4,261
 Paute,4,261
 Guachapala,4,261
 El Pan,4,261
 Gualaceo,4,261
 Chordeleg,4,261
 Sígsig,4,261
 Cuenca,4,261
 Santa Isabel,4,261
 Pucará,4,261
 Camilo Ponce Enríquez,4,261
 San Fernando,4,261
 Girón,4,261
 Nabón,4,261
 Oña,4,261
 El Guabo,4,267
 Machala,4,267
 Pasaje,4,267
 Chilla,4,267
 Zaruma,4,267
 Santa Rosa,4,267
 Atahualpa,4,267
 Arenillas,4,267
 Huaquillas,4,267
 Las Lajas,4,267
 Marcabelí,4,267
 Balsas,4,267
 Piñas,4,267
 Portovelo,4,267
 Saraguro,4,272
 Loja,4,272
 Chaguarpamba,4,272
 Olmedo,4,272
 Catamayo,4,272
 Paltas,4,272
 Puyango,4,272
 Pindal,4,272
 Celica,4,272
 Zapotillo,4,272
 Macará,4,272
 Sozoranga,4,272
 Calvas,4,272
 Gonzanamá,4,272
 Quilanga,4,272
 Espíndola,4,272
 Yacuambi,4,284
 Yantzaza,4,284
 El Pangui,4,284
 Zamora,4,284
 Centinela del Cóndor,4,284
 Paquisha,4,284
 Nangaritza,4,284
 Palanda,4,284
 Chinchipe,4,284
 Isabela,4,269
 San Cristóbal,4,269
 Santa Cruz,4,269
